919,517991,10818,2006
2215,718447,46507,2000
2359,796487,72329,2004
2615,816943,37462,2010
3023,827423,31701,2010
3023,677511,25824,2010
3095,671367,10059,2007
3095,382959,40396,2007
3287,741191,27102,2010
3319,804223,46945,2003
3415,701359,15898,2008
3623,649815,31701,2004
3623,701791,25824,2004
3679,378231,72329,2004
4007,322543,37462,2005
4007,613615,15898,2002
4079,508215,41505,2001
4279,715159,26285,2001
1591,521359,46945,2003
1959,330495,41176,2002
2271,921143,37462,2005
2295,751047,40412,2004
2335,911751,10818,1999
2799,893079,70850,2006
2855,337327,36539,2004
2871,307119,21646,2005
2223,461799,259,2001
2223,851343,15898,2002
2399,895031,46945,2004
2519,845967,10922,2003
2607,766607,4404,2011
3135,683767,37462,2002
3159,321111,37462,2005
3383,339247,37462,2007
3671,748575,31525,2011
3815,876407,5377,2009
3967,317335,42422,2010
4095,914647,37462,2009
4191,342991,10618,2006
1079,338743,16310,2004
2287,592463,35268,2009
2327,409087,15898,2000
2367,613199,146,2007
2687,878335,42422,2010
2839,783623,15898,2003
2879,709951,70850,2002
2887,340471,10618,2005
3439,528743,31389,2003
3519,658351,15874,2004
3519,669055,5215,2004
3687,664583,61920,2007
3687,824351,40215,2006
4327,583455,5055,2002
4703,886959,41176,2011
4951,446343,37462,2009
2159,826799,46259,2004
2471,479103,46619,2009
2471,481911,5589,2008
2471,380079,55730,2007
2663,649311,15898,2001
2671,499903,259,2003
2695,725999,72329,2004
2759,527311,10818,2002
3215,457623,72329,2004
3447,673047,37270,2008
3471,527887,25810,2004
3471,790119,31525,2004
3767,654791,10618,2009
3847,321119,37462,1999
3847,726831,46945,2009
3863,766023,56539,2007
3863,785223,60602,2007
3959,505959,62088,2006
4543,335543,62128,2006
511,841647,15898,2006
2111,890543,26161,2002
2495,404063,15898,2009
2919,689967,37462,2007
3247,915383,5215,2010
3279,550631,259,2004
3351,500591,259,2008
3351,554335,46945,2007
3431,607711,37462,2009
3807,387391,66018,2007
4247,687999,343,2003
4247,712831,15223,2002
1095,672343,36441,2008
2487,582023,10618,2003
2719,497783,15435,2010
2999,436511,26469,2001
3183,507287,259,2009
3191,387951,37462,2008
3271,471255,36539,2001
4743,462895,46945,2009
4943,521423,42422,2007
1183,902175,37462,2011
2167,619023,62144,2007
2319,498159,259,2006
2447,727975,46945,2010
2599,413775,259,2002
2935,443799,30322,2008
2967,898727,26161,1999
2983,612431,185,2008
3551,729055,37462,2005
3551,739487,36539,2004
3559,669007,66657,2003
3631,420207,10818,2004
3895,916359,37462,2007
4055,598695,15898,2007
4071,568831,46945,2008
4207,343719,15898,2007
7287,430887,25116,2005
7383,540623,259,2000
7727,307655,259,2009
7999,776959,36441,2004
8359,839335,62128,2006
8679,700519,46619,2005
8911,306471,26285,2006
9215,365455,31389,1999
9327,382511,56657,2008
9959,469159,25738,2007
11663,498479,5377,2010
4711,664807,37462,2002
4791,790655,30784,2007
4927,692247,72329,2009
4935,379847,5432,2006
7567,805967,46547,2008
7647,435583,36539,2009
7919,326519,34876,2001
7983,823055,31701,2003
8015,741063,26285,2004
8055,697815,35295,2006
8391,791847,259,2003
8391,566447,46945,2003
8455,571391,46945,2001
8831,314791,20961,2005
4207,733119,46945,2007
4207,770167,37462,2008
4231,770807,36539,2010
4231,324959,37462,2011
4455,911199,5432,2003
4591,850159,46945,2002
4623,680887,15898,2002
4735,395215,45079,2004
4911,624031,55682,2009
7535,315303,5291,1999
7591,901183,31043,2006
7871,570791,15898,2007
8119,596391,24895,2008
8247,813759,4404,2003
8583,418639,5291,2009
8591,766167,36539,2001
3071,403087,36539,2003
3255,571535,15898,2011
3375,698719,26469,2010
4407,643631,37318,2007
4415,689671,46945,2003
4463,333431,45740,2000
4463,349383,5055,2000
4599,398263,185,2008
4847,719647,5215,2010
5727,562359,62128,2001
6527,777823,37462,2006
7439,454703,66657,2009
7495,310351,5589,2008
7671,335559,37462,1999
7671,638751,259,1999
7719,441527,185,2010
7063,453007,10351,2000
7399,644767,36539,2001
7447,713663,46945,1999
7711,715855,66018,2006
8095,665327,20247,2008
8143,882023,25116,2005
8351,797503,25824,2010
8439,361871,5377,2010
8767,514487,31974,2010
8767,641023,20793,2009
8815,757255,50399,2006
8871,547975,61920,2004
9015,841047,36193,2005
4383,620255,36539,2005
4783,471623,56539,2005
7423,756887,56657,2008
7807,366143,5222,2006
7879,844615,46945,2002
8207,569599,46945,2004
8479,790031,10351,2010
8687,463175,259,2003
8847,319407,15874,2006
9159,389207,10818,2010
9631,919591,37462,2003
9639,570039,259,2007
9743,807967,42422,2010
10159,558119,259,2010
1261,691167,56539,2002
1421,733527,56723,2010
1421,531431,5403,2007
1421,644135,9852,2005
309,703535,37270,2004
2221,442463,4700,2004
2637,653087,15898,1999
2637,680119,25036,2000
2685,417495,81,2009
2909,732327,55682,2007
3245,761031,185,2003
3245,365807,37318,2003
3597,684063,37462,2005
3829,390407,10818,2000
4021,308343,259,2010
4021,378535,36539,2010
4701,488207,31701,2005
4701,550439,25824,2006
5117,330935,46259,2000
9311,637703,259,2011
10007,688247,37462,2004
10191,598351,5291,2008
10191,605975,31043,2008
1181,853647,10618,2006
1709,466511,15898,2006
2493,766783,25456,2000
2541,338335,56657,2009
2653,730719,30322,2007
2797,764327,31525,2003
6703,641375,31525,2005
7295,353903,10618,2002
7327,405223,36539,2003
8271,380831,36539,1999
8599,812239,72329,2000
9095,739943,31389,2006
9255,553055,66,2009
9407,787191,10624,2002
9407,324759,41505,2003
9103,695599,46945,2009
9271,771711,39690,2009
9375,876255,42422,2007
10103,550655,20247,2008
10463,412991,31293,2008
