271,278789,13
599,470245,35760
639,398125,56584
2215,156493,25874
2359,381773,5786
2615,360365,55466
2631,242245,91
3023,279253,31163
3095,458461,34906
3127,309453,30889
3287,451541,20760
3879,171701,50215
3991,407141,150
4007,141917,29759
4031,323813,39978
4175,254077,15664
1247,206149,10028
2271,437237,15609
2855,294821,5344
2223,201709,10311
2607,314877,10608
3159,199325,10311
4095,360253,51323
4191,171989,42734
4215,294333,15247
951,139805,15339
1087,478149,10576
2367,357445,42302
2407,258781,35191
2687,228093,36176
2823,434789,15609
2887,202781,213
3391,453005,36032
3927,141693,15339
15,312773,51227
871,456293,5342
2159,141949,5397
2343,295197,5344
2671,411829,77265
3311,433861,42838
3335,430805,5462
3535,296269,5344
3767,202565,213
3799,156997,25874
823,399965,56584
895,140133,10673
2103,173509,5531
2543,187621,31830
2919,259445,10488
3103,231413,66441
3479,285829,35191
3951,246893,65802
5279,204453,30384
6047,176709,14844
6455,324285,5127
63,251477,30809
375,234093,49962
935,315397,26982
2927,462557,51440
2959,409973,77265
3599,340629,20359
3615,477813,50234
4143,357541,42302
4263,258117,35191
4839,268205,15263
4903,466949,61729
4975,137837,35239
6783,394189,50511
2119,400005,61905
2311,358533,55466
2567,274717,253
2599,260413,20183
3551,171581,50215
4127,137189,35239
4135,144293,46024
7503,173501,50215
8359,322045,10989
8423,241453,91
9847,236597,5730
61,317685,36017
4543,323485,10989
4711,150581,31862
5215,278669,13
5311,233997,49962
5815,404093,25634
5991,466045,10331
7983,479149,42710
8015,465221,10331
8391,200573,10311
8447,330389,9844
8455,387541,60618
8543,228037,25084
8791,386509,41160
4591,271869,16462
4623,369645,45772
5519,229557,25084
8711,321413,66649
8879,267069,15263
3071,370837,45772
5287,203461,30384
6023,273581,253
6039,284973,77337
6079,391861,60818
7039,149445,26233
7319,272117,35303
7391,325581,10989
7743,162573,46347
7783,168773,10488
7639,149741,31862
8079,388757,41160
8471,310141,20183
8567,461309,16029
4615,212013,16462
6239,207877,10028
6255,266901,4484
7407,375613,56744
7423,332997,50271
7735,259093,10488
8631,360005,51323
8671,237293,20183
8687,242565,91
8975,150805,31862
10159,188973,31830
10279,325157,26766
10567,380797,46136
77,319109,26766
789,271133,15821
1085,332709,46024
1421,347493,61968
1461,272173,35303
741,385349,20480
2037,170949,42734
2141,309789,30889
2261,204573,35912
3405,357013,21718
4157,354197,15706
4173,144013,29759
4365,270789,56673
4741,142061,46024
4941,164365,50
9223,378581,14844
9319,356269,15706
1397,381293,46136
2469,181901,31341
2581,211717,16462
5207,229693,25084
6111,468869,61984
7431,149861,26233
7631,323541,10989
8599,133621,5553
9231,297621,21806
9735,449453,20271
9767,259549,10488
10039,160149,62043
10103,455189,5342
10167,357389,36435
10799,229445,25084
10847,269909,15821
2309,345709,274
2365,387933,41160
2453,136045,261
3237,201309,10311
9111,464093,5401
9167,408341,36281
9519,448149,31397
973,138701,15339
2341,168789,10488
2773,247405,65802
3117,183557,20785
1109,315309,51913
2533,376069,56744
2917,312037,35108
3517,477061,10576
3565,267013,4484
3733,142877,29759
2405,354189,15706
2549,341677,20359
3029,287701,10749
3061,140837,15339
3613,200989,10311
5069,323013,10989
5149,314349,10608
5533,346237,49962
5661,477965,50234
8333,163205,46347
8509,343357,34906
9021,428885,5462
9629,339221,10665
9837,182453,31862
10677,249829,30809
10901,255909,35191
10949,202589,30384
11141,204477,35912
290,271909,50010
4647,226837,56769
5015,251493,30809
5263,338373,30384
6631,450973,10576
7599,462573,274
8127,452493,31065
8231,455229,5342
8559,195733,5368
3093,317189,10608
3525,321533,76018
5093,315717,10608
7773,392125,50511
7917,451157,10576
4653,362813,173
5341,410373,60514
6021,201573,45708
6685,245285,40303
6693,339117,40303
9407,143957,46024
3813,380541,10957
4189,377669,51435
4725,327221,10934
5077,374469,25108
9495,464413,165
9815,139637,10673
9991,358813,36435
1413,322989,39978
2677,259101,10488
3037,210717,16462
3781,213325,16462
3789,236397,20183
4821,321605,10989
