Person.id|Comment.id|creationDate
21990232555524|893353198042|2012-04-22T16:54:03.387+0000
32985348833314|893353198042|2012-08-20T06:48:55.278+0000
21990232555571|755914246525|2011-12-12T19:12:43.450+0000
17592186044504|893353200030|2012-04-23T13:46:01.024+0000
96|412316863378|2011-02-17T17:03:53.583+0000
15393162788893|412316863378|2011-04-05T00:37:38.716+0000
17592186044425|412316863378|2011-06-21T23:02:42.535+0000
21990232555524|412316863378|2011-10-11T19:09:51.933+0000
21990232555586|412316863378|2011-09-27T20:02:48.256+0000
96|412316863380|2011-02-18T06:38:11.017+0000
15393162788893|412316863380|2011-04-03T12:03:35.709+0000
4398046511145|824633724248|2012-02-23T06:59:07.676+0000
4398046511154|824633724248|2012-02-23T17:22:30.842+0000
4398046511163|824633724248|2012-02-28T17:25:42.191+0000
4398046511180|824633724248|2012-02-26T13:42:12.173+0000
4398046511185|824633724248|2012-02-28T06:08:43.535+0000
6597069766659|824633724248|2012-02-23T16:44:18.981+0000
10995116277788|824633724248|2012-02-24T03:09:33.450+0000
10995116277820|824633724248|2012-02-25T22:47:02.303+0000
13194139533320|824633724248|2012-02-27T09:03:31.700+0000
15393162788906|824633724248|2012-02-23T18:42:09.343+0000
19791209299984|824633724248|2012-02-22T20:37:37.031+0000
19791209300021|824633724248|2012-02-24T00:39:26.658+0000
19791209300058|824633724248|2012-02-23T02:21:13.346+0000
21990232555524|824633724248|2012-02-26T15:49:30.346+0000
21990232555586|824633724248|2012-02-23T11:30:13.617+0000
21990232555617|824633724248|2012-02-25T06:15:53.219+0000
24189255811099|824633724248|2012-02-23T01:57:13.928+0000
24189255811103|824633724248|2012-02-26T11:01:49.869+0000
24189255811116|824633724248|2012-02-26T04:28:23.670+0000
26388279066654|824633724248|2012-03-03T01:34:35.588+0000
26388279066664|824633724248|2012-02-22T21:30:17.641+0000
30786325577752|824633724248|2012-06-18T15:22:41.978+0000
30786325577784|824633724248|2012-06-11T17:08:23.428+0000
32985348833314|824633724248|2012-08-10T05:20:01.620+0000
21990232555524|274877910379|2011-10-29T09:30:23.145+0000
10995116277788|755914247627|2011-12-13T20:18:54.842+0000
4398046511154|274877910530|2010-09-20T15:29:44.045+0000
32985348833314|274877910534|2012-08-10T04:46:21.407+0000
4398046511145|755914247741|2011-12-22T21:39:50.605+0000
4398046511154|755914247741|2011-12-20T16:29:28.246+0000
4398046511163|755914247741|2011-12-22T05:45:00.521+0000
4398046511180|755914247741|2011-12-21T03:13:54.693+0000
4398046511185|755914247741|2011-12-21T20:45:53.096+0000
6597069766659|755914247741|2011-12-24T08:57:26.650+0000
10995116277788|755914247741|2011-12-20T13:43:10.410+0000
10995116277820|755914247741|2011-12-20T13:01:19.907+0000
13194139533320|755914247741|2011-12-20T15:20:00.739+0000
15393162788906|755914247741|2011-12-21T03:51:37.236+0000
19791209299984|755914247741|2011-12-24T03:03:04.140+0000
19791209300021|755914247741|2011-12-22T20:23:41.347+0000
19791209300058|755914247741|2011-12-20T13:13:16.588+0000
21990232555524|755914247741|2011-12-21T14:35:31.818+0000
21990232555586|755914247741|2011-12-21T06:50:16.050+0000
21990232555617|755914247741|2011-12-25T03:58:00.260+0000
24189255811099|755914247741|2012-01-22T00:26:45.723+0000
24189255811103|755914247741|2011-12-24T13:04:18.492+0000
