Comment.id|Comment.id
618475291046|618475291044
618475291047|618475291044
618475291048|618475291047
618475291049|618475291047
618475291050|618475291047
618475291053|618475291047
618475291055|618475291047
962072674743|962072674742
962072674745|962072674742
824633721278|824633721277
824633721280|824633721277
893353198023|893353198021
893353198024|893353198022
893353198026|893353198022
893353198027|893353198021
893353198028|893353198022
893353198029|893353198028
893353198030|893353198027
893353198032|893353198028
893353198033|893353198031
893353198034|893353198031
893353198040|893353198036
893353198043|893353198036
893353198044|893353198043
893353198045|893353198041
893353198046|893353198041
893353198047|893353198038
893353198048|893353198036
893353198049|893353198041
549755815268|549755815266
549755815270|549755815268
549755815271|549755815266
893353198960|893353198958
893353198961|893353198958
893353198962|893353198958
893353198964|893353198963
893353198965|893353198963
893353198966|893353198963
893353198969|893353198968
1030792152447|1030792152445
1030792152448|1030792152447
1030792152449|1030792152445
1030792152451|1030792152450
1030792152452|1030792152450
1030792152454|1030792152450
1030792152455|1030792152453
1030792152456|1030792152453
412316861840|412316861838
412316861841|412316861838
412316861842|412316861838
412316861843|412316861838
412316861846|412316861838
412316861849|412316861838
412316861852|412316861850
755914245544|755914245541
755914245546|755914245541
755914245548|755914245541
755914246184|755914246182
755914246185|755914246182
755914246186|755914246182
755914246187|755914246182
755914246188|755914246182
755914246192|755914246191
755914246193|755914246191
755914246194|755914246191
755914246195|755914246182
755914246196|755914246191
755914246197|755914246195
755914246526|755914246523
755914246528|755914246525
755914246529|755914246523
755914246530|755914246524
755914246531|755914246530
755914246532|755914246524
893353200020|893353200018
893353200021|893353200018
893353200023|893353200022
893353200025|893353200022
893353200026|893353200024
893353200027|893353200026
893353200029|893353200022
893353200030|893353200028
893353200041|893353200040
893353200042|893353200041
893353200045|893353200040
687194770315|687194770314
687194770317|687194770314
412316863379|412316863377
412316863380|412316863377
412316863381|412316863377
412316863382|412316863380
412316863383|412316863378
962072677501|962072677498
962072677502|962072677498
962072677503|962072677501
962072677504|962072677501
962072677505|962072677501
962072677506|962072677501
962072677508|962072677498
755914247305|755914247304
755914247306|755914247304
755914247307|755914247304
824633724049|824633724048
824633724050|824633724048
824633724051|824633724048
824633724055|824633724048
824633724056|824633724048
824633724057|824633724055
824633724059|824633724056
824633724061|824633724049
824633724069|824633724065
824633724070|824633724067
893353200941|893353200938
893353200944|893353200942
893353200945|893353200942
1030792154421|1030792154420
1030792154422|1030792154420
1030792154423|1030792154420
1030792154424|1030792154420
1030792154425|1030792154420
1030792154426|1030792154420
1030792154427|1030792154420
1030792154428|1030792154426
1030792154430|1030792154428
1030792154431|1030792154428
1030792154432|1030792154424
412316863815|412316863814
412316863816|412316863814
412316863818|412316863814
412316863819|412316863812
412316863820|412316863814
412316863821|412316863812
412316863822|412316863810
412316863823|412316863817
412316863824|412316863814
412316863825|412316863814
824633724249|824633724248
824633724250|824633724248
755914247521|755914247520
274877910380|274877910377
274877910381|274877910377
274877910384|274877910377
755914247542|755914247541
755914247545|755914247541
412316863877|412316863876
412316863878|412316863876
412316863880|412316863879
412316863881|412316863876
412316863884|412316863876
412316863886|412316863876
412316863887|412316863879
412316863889|412316863876
412316863890|412316863877
412316863891|412316863879
412316863892|412316863876
412316863893|412316863879
412316863894|412316863879
412316863895|412316863892
412316863917|412316863915
412316863918|412316863915
962072677813|962072677812
962072677814|962072677812
962072677815|962072677812
962072677816|962072677812
755914247617|755914247615
755914247618|755914247617
755914247619|755914247617
755914247620|755914247615
755914247621|755914247617
755914247622|755914247617
755914247623|755914247615
755914247624|755914247620
755914247625|755914247619
755914247626|755914247625
755914247627|755914247619
687194770901|687194770898
687194770902|687194770896
687194770903|687194770896
687194770906|687194770903
687194770907|687194770899
687194770908|687194770896
618475294177|618475294175
618475294179|618475294175
618475294181|618475294175
481036340715|481036340711
481036340716|481036340711
481036340718|481036340712
481036340719|481036340712
481036340720|481036340714
481036340721|481036340714
481036340722|481036340716
481036340723|481036340712
481036340725|481036340716
481036340726|481036340712
481036340727|481036340724
481036340728|481036340714
274877910526|274877910522
274877910527|274877910522
274877910530|274877910527
274877910531|274877910527
274877910532|274877910531
274877910533|274877910531
274877910534|274877910522
274877910535|274877910531
549755817485|549755817484
274877910549|274877910547
274877910550|274877910547
274877910553|274877910547
274877910555|274877910554
274877910556|274877910547
274877910557|274877910555
274877910560|274877910547
755914247723|755914247722
755914247725|755914247722
755914247726|755914247725
824633724466|824633724464
824633724467|824633724464
824633724469|824633724464
824633724470|824633724465
