Person.id|Person.id|creationDate
26388279066636|32985348833314|2012-08-13T22:24:39.405+0000
17592186044504|30786325577752|2012-06-08T01:47:27.386+0000
19791209300058|21990232555524|2011-10-17T07:11:48.865+0000
19791209300058|30786325577752|2012-05-26T20:27:43.285+0000
19791209300058|32985348833378|2012-08-31T16:13:23.575+0000
13194139533332|15393162788906|2011-05-09T20:49:43.825+0000
13194139533332|19791209299986|2011-08-30T07:16:30.277+0000
13194139533332|21990232555524|2011-10-15T04:49:19.998+0000
13194139533332|32985348833314|2012-08-18T08:13:27.733+0000
8796093022290|10995116277788|2010-12-14T10:39:09.413+0000
4398046511154|6597069766733|2010-08-20T03:59:03.006+0000
15393162788865|15393162788906|2011-05-13T07:02:35.175+0000
15393162788865|15393162788922|2011-05-11T06:02:24.113+0000
15393162788865|17592186044425|2011-06-22T02:44:52.907+0000
15393162788865|17592186044494|2011-07-19T12:36:07.954+0000
15393162788865|21990232555524|2011-10-08T23:55:08.900+0000
24189255811103|26388279066654|2012-03-14T14:33:45.122+0000
26388279066717|30786325577774|2012-07-01T10:09:41.031+0000
26388279066717|32985348833314|2012-08-16T14:24:29.114+0000
6597069766725|15393162788906|2011-04-23T08:01:17.740+0000
10995116277820|17592186044425|2011-06-13T18:48:03.929+0000
10995116277820|19791209299984|2011-08-13T22:21:59.418+0000
10995116277820|21990232555524|2011-10-15T18:57:33.226+0000
10995116277820|24189255811103|2012-01-01T10:02:19.498+0000
10995116277820|24189255811116|2012-01-09T00:52:11.158+0000
10995116277820|32985348833314|2012-08-23T03:49:15.623+0000
24189255811086|24189255811116|2012-01-12T07:13:06.800+0000
2199023255637|15393162788906|2011-04-18T02:24:51.244+0000
2199023255637|17592186044425|2011-06-23T07:16:39.550+0000
21990232555586|21990232555611|2011-11-12T02:20:34.210+0000
24189255811164|26388279066664|2012-01-18T18:43:00.486+0000
6597069766693|21990232555524|2011-10-22T03:40:46.491+0000
6597069766693|21990232555586|2011-09-25T10:24:24.786+0000
15393162788922|17592186044504|2011-05-09T19:05:57.712+0000
15393162788922|21990232555571|2011-11-08T16:34:35.616+0000
15393162788922|24189255811116|2011-12-30T20:47:35.073+0000
15393162788922|32985348833329|2012-08-15T05:17:18.502+0000
28587302322247|32985348833314|2012-09-02T22:11:37.942+0000
6597069766659|6597069766733|2010-08-28T11:33:55.197+0000
6597069766659|21990232555586|2011-10-07T19:52:03.326+0000
10995116277765|15393162788893|2011-04-03T02:25:58.319+0000
10995116277765|17592186044425|2011-06-20T22:16:31.393+0000
10995116277765|21990232555524|2011-10-10T21:48:51.071+0000
10995116277765|21990232555586|2011-09-25T01:35:08.103+0000
21990232555611|32985348833329|2012-08-27T17:15:08.536+0000
21990232555611|32985348833378|2012-09-07T16:34:17.739+0000
30786325577752|30786325577774|2012-07-01T09:18:27.026+0000
6597069766733|10995116277788|2011-01-02T15:42:44.911+0000
6597069766733|10995116277820|2010-12-19T21:45:37.417+0000
6597069766733|13194139533320|2011-03-10T13:45:06.200+0000
6597069766733|15393162788906|2011-04-18T12:12:11.230+0000
6597069766733|19791209299984|2011-08-23T23:47:10.657+0000
6597069766733|19791209300021|2011-09-14T14:55:06.715+0000
6597069766733|19791209300058|2011-09-01T18:47:20.273+0000
6597069766733|21990232555524|2011-10-24T08:01:05.834+0000
6597069766733|21990232555586|2011-10-07T19:14:35.414+0000
6597069766733|21990232555617|2011-11-12T22:04:53.170+0000
6597069766733|24189255811099|2012-01-19T22:15:46.958+0000
6597069766733|24189255811103|2011-12-20T13:13:29.059+0000
6597069766733|24189255811116|2011-12-12T02:46:43.361+0000
6597069766733|26388279066654|2012-02-28T01:03:33.166+0000
6597069766733|26388279066664|2012-01-11T08:47:55.076+0000
6597069766733|30786325577752|2012-06-17T12:36:42.588+0000
6597069766733|30786325577784|2012-06-10T13:35:55.774+0000
6597069766733|32985348833314|2012-08-09T13:15:43.499+0000
13194139533391|26388279066664|2012-01-21T10:10:53.657+0000
6597069766678|6597069766720|2010-08-23T07:59:25.357+0000
6597069766678|6597069766725|2010-08-14T20:15:56.166+0000
6597069766678|13194139533391|2011-01-29T02:59:00.481+0000
6597069766678|15393162788893|2011-04-03T19:46:38.074+0000
6597069766678|15393162788906|2011-04-25T13:02:44.855+0000
6597069766678|19791209300020|2011-08-02T04:39:37.754+0000
6597069766678|21990232555571|2011-11-02T23:20:05.630+0000
6597069766678|26388279066664|2012-01-23T09:02:30.491+0000
6597069766678|30786325577784|2012-06-02T05:53:23.647+0000
6597069766678|32985348833314|2012-08-11T06:26:52.731+0000
94|17592186044425|2011-06-30T05:22:21.463+0000
94|21990232555524|2011-10-08T23:43:36.547+0000
94|21990232555611|2011-11-19T09:42:06.406+0000
94|26388279066664|2012-01-16T15:04:05.153+0000
94|32985348833378|2012-09-11T00:51:54.424+0000
17592186044425|19791209299968|2011-08-23T04:04:20.969+0000
17592186044425|19791209300004|2011-09-06T08:05:15.593+0000
17592186044425|19791209300058|2011-09-21T00:56:49.161+0000
17592186044425|21990232555524|2011-10-21T09:25:12.874+0000
17592186044425|21990232555571|2011-10-24T09:16:00.916+0000
17592186044425|21990232555617|2011-11-03T08:00:56.015+0000
17592186044425|24189255811086|2012-01-23T10:15:57.619+0000
17592186044425|24189255811103|2011-12-19T22:53:38.536+0000
17592186044425|24189255811116|2012-01-06T08:29:19.333+0000
17592186044425|28587302322256|2012-04-26T05:04:41.155+0000
17592186044425|32985348833329|2012-08-16T13:20:44.645+0000
