Post.id|Place.id
1099511627776|110
1099511627777|71
1099511627778|71
1099511627779|71
1099511627780|71
1099511627781|71
1099511627782|71
1099511627783|71
1099511627784|71
1099511627785|71
1099511627786|71
1099511627787|71
1099511627788|71
1099511627789|71
1099511627790|71
1099511627791|71
1099511627792|71
1099511627793|71
1099511627794|23
1030792151059|71
1030792151060|71
1030792151061|71
1030792151062|71
1030792151063|71
1030792151064|71
1030792151065|71
1030792151066|71
1030792151067|71
1030792151068|71
1030792151069|71
1030792151070|71
1030792151071|71
1030792151072|71
1030792151073|71
1030792151074|71
824633720867|71
824633720868|71
824633720869|71
824633720870|71
824633720871|71
824633720872|71
824633720873|71
962072674347|71
962072674348|71
893353197629|71
893353197630|71
893353197631|71
893353197632|71
893353197633|71
893353197634|71
893353197635|71
893353197636|71
893353197637|71
893353197638|71
893353197639|71
893353197640|66
893353197641|71
893353197642|71
893353197643|71
893353197644|71
893353197645|71
893353197646|49
893353197647|71
893353197648|71
824633720933|1
755914244200|1
618475290729|56
618475290730|56
618475290731|56
618475290732|56
618475290733|56
618475290734|56
962072674415|56
962072674416|56
962072674417|56
962072674418|85
962072674419|56
962072674420|56
962072674421|56
962072674422|56
962072674423|56
962072674424|56
962072674425|56
962072674426|56
962072674427|56
962072674428|56
962072674429|56
962072674430|7
481036337279|56
481036337280|56
481036337281|56
481036337282|56
481036337283|56
481036337284|56
481036337285|56
481036337286|56
481036337287|56
481036337288|56
481036337289|56
481036337290|56
481036337291|56
481036337292|56
481036337293|56
481036337294|56
481036337295|56
481036337296|56
481036337297|56
481036337298|56
549755814035|56
549755814036|56
549755814037|56
549755814038|56
549755814039|56
549755814040|56
549755814041|56
549755814042|66
549755814043|56
549755814044|4
549755814045|56
549755814046|56
549755814047|56
549755814048|56
549755814049|56
549755814050|56
549755814051|56
549755814052|60
549755814053|56
618475290790|56
618475290791|56
618475290792|56
618475290793|56
618475290794|56
618475290795|56
618475290796|56
618475290797|56
618475290798|56
618475290799|56
618475290800|56
618475290801|56
618475290802|31
618475290803|56
618475290804|56
618475290805|56
755914244278|56
755914244279|56
755914244280|56
755914244281|56
755914244282|56
755914244283|56
755914244284|56
755914244285|56
618475290833|56
618475290834|56
618475290835|56
618475290836|56
618475290837|56
618475290838|56
618475290839|56
618475290840|56
618475290841|56
618475290842|56
618475290843|56
618475290844|56
618475290845|56
618475290846|56
618475290847|56
893353197792|56
893353197793|56
893353197794|56
893353197795|56
893353197796|56
893353197797|56
893353197798|56
893353197799|56
687194767592|56
687194767593|56
274877907178|56
274877907179|56
274877907180|79
274877907181|56
274877907182|56
274877907183|56
274877907184|56
274877907185|56
274877907186|56
274877907187|56
274877907188|56
274877907189|56
274877907190|56
274877907191|56
274877907192|56
274877907193|56
274877907194|56
274877907195|56
274877907196|56
343597383933|56
343597383934|56
343597383935|56
343597383936|56
343597383937|56
343597383938|56
343597383939|56
343597383940|56
343597383941|56
481036337414|56
481036337415|56
481036337416|56
481036337417|56
481036337418|56
274877907211|56
274877907212|56
274877907213|56
274877907214|56
274877907215|56
274877907216|56
274877907217|56
274877907218|56
274877907219|56
274877907220|56
274877907221|56
274877907222|56
274877907223|56
274877907224|56
618475290905|56
618475290906|56
618475290907|56
618475290908|56
618475290909|56
618475290910|56
618475290911|56
618475290912|56
618475290913|56
618475290914|56
618475290915|56
618475290916|56
618475290917|56
618475290918|56
618475290919|56
618475290920|56
618475290921|56
618475290922|56
893353197867|56
893353197868|56
893353197869|56
893353197870|56
893353197871|56
893353197872|56
549755814193|56
549755814194|56
824633721139|56
824633721140|56
824633721141|56
1030792151350|56
1030792151351|56
1030792151352|56
1030792151353|56
1030792151354|56
1030792151355|56
1030792151356|56
1030792151357|56
1030792151358|56
1030792151359|56
1030792151360|56
1030792151361|56
962072674626|56
962072674627|56
962072674628|56
962072674629|56
962072674630|56
962072674631|67
687194767688|56
687194767689|56
687194767690|56
687194767691|56
687194767692|56
687194767693|56
687194767694|56
687194767730|56
687194767731|56
549755814260|56
549755814261|56
549755814262|56
549755814263|56
549755814264|56
549755814265|56
549755814266|56
549755814267|56
549755814268|56
549755814269|49
549755814270|56
549755814271|56
549755814272|56
549755814273|56
343597384066|56
343597384067|56
343597384068|56
343597384069|56
343597384070|56
343597384071|56
343597384072|56
343597384073|56
343597384074|56
343597384075|56
343597384076|56
343597384077|56
343597384078|56
343597384079|56
343597384080|56
343597384081|56
343597384082|56
343597384083|4
343597384084|56
481036337557|56
481036337558|56
481036337559|56
481036337560|56
481036337561|56
481036337562|56
481036337563|56
481036337564|56
481036337565|56
481036337566|56
618475291039|25
962072674739|25
824633721275|25
893353198019|25
893353198035|25
1030792151522|25
1030792151523|25
1030792151524|25
1030792151525|25
755914244582|25
755914244583|25
755914244584|25
755914244585|25
755914244586|25
755914244587|25
755914244588|25
755914244589|25
755914244590|25
755914244591|25
755914244592|25
755914244593|25
755914244594|39
755914244595|25
755914244596|25
755914244597|25
755914244598|25
481036337675|25
481036337676|25
481036337677|25
481036337678|25
481036337679|25
481036337680|25
481036337681|25
893353198098|25
893353198099|20
893353198100|25
893353198101|25
893353198102|25
893353198103|25
893353198104|25
893353198105|25
893353198106|81
893353198107|25
412316860956|25
412316860957|25
412316860958|25
412316860959|25
412316860960|25
412316860961|25
687194767907|25
687194767908|25
687194767909|25
687194767910|25
755914244664|25
755914244665|25
755914244666|25
755914244667|25
755914244668|46
755914244669|25
755914244670|25
755914244671|25
755914244672|25
755914244673|25
755914244674|25
755914244675|25
755914244676|25
755914244677|25
755914244678|25
755914244679|25
755914244680|25
755914244681|25
755914244682|25
893353198155|25
893353198156|25
893353198157|25
893353198158|25
618475291215|25
618475291216|25
618475291217|35
618475291218|25
618475291219|25
618475291220|25
618475291221|25
618475291222|25
618475291223|25
618475291224|25
618475291225|25
618475291226|25
618475291227|25
618475291228|25
618475291229|25
618475291230|25
962072674911|25
962072674912|25
962072674913|97
962072674914|25
962072674915|25
962072674916|46
962072674917|25
962072674918|25
962072674919|25
962072674920|25
962072674921|25
962072674922|25
962072674923|51
962072674924|25
962072674925|25
962072674926|77
687194767983|25
687194767984|25
687194767985|25
687194767986|25
687194767987|25
687194767988|25
687194767989|25
687194767990|25
687194767991|25
687194767992|25
687194767993|25
687194767994|25
687194767995|25
687194767996|25
687194767997|25
1099511628414|25
1099511628415|25
1099511628416|25
1099511628417|5
1099511628418|25
1099511628419|25
1099511628420|25
1099511628421|25
1099511628422|25
1099511628423|25
1099511628424|25
1099511628425|25
1099511628426|25
1099511628427|25
1099511628428|25
755914244749|25
755914244750|86
755914244751|25
755914244752|25
755914244753|25
755914244754|25
755914244755|66
755914244756|25
755914244757|25
755914244758|25
755914244759|107
755914244760|25
755914244761|25
755914244762|25
755914244763|25
755914244764|25
755914244765|25
755914244766|25
481036337823|25
481036337824|25
481036337825|25
481036337826|25
481036337827|25
481036337828|25
481036337829|25
481036337830|25
481036337831|25
481036337832|25
481036337833|25
481036337834|25
481036337835|25
549755814572|25
549755814573|25
549755814574|25
549755814575|25
549755814576|25
549755814577|25
549755814578|14
549755814579|25
549755814580|25
549755814581|25
549755814582|25
549755814583|25
549755814584|25
549755814585|25
549755814586|25
549755814587|25
549755814588|25
549755814589|25
549755814590|25
549755814591|25
481036337856|25
481036337857|25
481036337858|25
481036337859|25
481036337860|25
481036337861|25
481036337862|25
481036337863|25
481036337864|25
481036337865|25
481036337866|25
549755814603|25
549755814604|101
549755814605|25
549755814606|25
549755814607|25
549755814608|25
549755814609|25
549755814610|25
549755814611|25
549755814612|25
549755814613|25
549755814614|7
549755814615|25
549755814616|25
549755814617|25
549755814618|98
549755814619|25
893353198300|25
893353198301|25
893353198302|25
893353198303|25
893353198304|25
893353198305|25
893353198306|25
893353198307|25
893353198308|25
893353198309|25
893353198310|25
893353198311|25
893353198312|25
893353198313|25
893353198314|25
893353198315|25
687194768108|25
687194768109|25
687194768110|25
687194768111|25
687194768112|25
687194768113|25
687194768114|25
1030792151814|106
1030792151815|106
1030792151816|106
1030792151817|106
1030792151818|106
1030792151819|106
1030792151820|106
1030792151821|106
1030792151822|106
1030792151823|106
1030792151824|106
962072675089|106
962072675090|106
962072675091|106
962072675092|106
962072675093|106
962072675094|106
962072675095|106
962072675096|106
962072675097|106
962072675098|106
962072675099|106
962072675100|106
962072675101|106
962072675102|106
962072675103|106
962072675104|55
962072675105|106
1030792151842|106
1030792151843|106
1030792151844|106
1030792151845|106
1030792151846|106
1030792151847|106
549755814704|84
549755814705|84
549755814706|84
549755814707|84
549755814708|84
549755814709|84
549755814710|84
549755814711|84
549755814712|84
549755814713|84
549755814714|10
549755814715|84
755914244924|84
755914244925|84
755914244926|84
755914244927|84
755914244928|84
755914244929|84
755914244930|84
755914244931|84
755914244932|84
755914244933|84
755914244934|84
755914244935|84
1030792151880|84
1030792151881|84
1030792151882|84
1030792151883|84
1030792151884|84
1030792151885|84
824633721678|84
824633721679|84
824633721680|84
137438954337|84
137438954338|84
137438954339|84
137438954340|84
137438954341|84
137438954342|84
137438954343|84
137438954344|84
137438954345|84
137438954346|84
137438954347|60
137438954348|84
137438954349|84
137438954350|84
137438954351|84
137438954352|84
1030792151921|84
1030792151922|84
1030792151923|84
1030792151924|84
1030792151925|84
1030792151926|84
755914244983|84
755914244984|84
755914244985|84
755914244986|84
755914244987|84
755914244988|57
755914244989|84
755914244990|84
755914244991|84
755914244992|84
755914244993|84
755914244994|84
755914244995|84
755914244996|84
755914244997|84
755914244998|84
755914244999|84
755914245000|84
755914245001|84
755914245002|84
893353198475|84
1030792151948|84
1030792151949|84
1030792151950|84
1030792151951|84
618475291536|84
618475291537|84
618475291538|84
618475291539|84
618475291540|84
618475291541|84
618475291542|84
549755814824|3
549755814825|84
549755814826|84
549755814827|84
549755814828|84
549755814829|84
549755814830|84
549755814831|84
549755814832|84
549755814833|84
549755814834|84
549755814835|84
549755814836|12
549755814837|84
549755814838|84
549755814839|84
549755814840|84
549755814841|84
549755814842|84
549755814843|84
687194768316|84
687194768317|84
687194768318|84
687194768319|84
687194768320|84
687194768321|84
687194768322|84
687194768323|84
687194768324|84
687194768325|84
687194768326|84
687194768327|84
687194768328|84
687194768329|84
687194768330|84
687194768331|84
687194768332|84
687194768333|84
274877907918|84
274877907919|84
274877907920|84
274877907921|84
274877907922|84
274877907923|84
274877907924|84
274877907925|84
274877907926|84
