Comment.id|Tag.id
618475291044|1668
618475291044|10571
618475291047|10571
618475291047|14450
618475291049|7557
618475291049|14450
618475291052|280
618475291052|448
618475291052|2970
618475291052|6071
618475291052|11755
618475291055|7079
618475291055|10571
618475291057|280
618475291057|3086
618475291057|6071
618475291057|11351
618475291058|280
618475291058|1206
618475291058|2088
962072674742|280
962072674742|9329
962072674743|280
962072674743|294
962072674743|9329
824633721276|3047
824633721277|5158
824633721277|14856
824633721282|280
824633721282|2903
824633721282|5158
893353198021|1986
893353198021|2845
893353198021|4863
893353198021|7380
893353198021|9086
893353198021|9149
893353198021|11363
893353198022|5247
893353198022|9149
893353198022|9287
893353198022|11255
893353198022|11259
893353198022|11363
893353198027|775
893353198027|6550
893353198027|7380
893353198027|9149
893353198027|11363
893353198027|11823
893353198027|12410
893353198028|594
893353198028|1450
893353198028|7570
893353198029|594
893353198029|1191
893353198029|1450
893353198029|7570
893353198029|15990
893353198031|2030
893353198031|2807
893353198031|4863
893353198031|9149
893353198031|13054
893353198033|2836
893353198033|7555
893353198033|9302
893353198033|13054
893353198036|61
893353198036|1021
893353198036|4863
893353198036|5418
893353198036|11755
893353198036|15377
893353198038|4863
893353198038|6363
893353198038|6392
893353198041|61
893353198041|289
893353198041|5418
893353198041|7012
893353198042|61
893353198042|593
893353198042|5316
893353198042|5418
893353198043|61
893353198043|1021
893353198043|2839
893353198043|5084
893353198043|9742
893353198043|15377
893353198048|61
893353198048|1533
893353198048|5056
893353198048|7892
893353198048|15377
549755815266|461
549755815266|561
549755815266|1195
549755815268|461
549755815268|1195
549755815268|3012
549755815268|7017
549755815271|1615
549755815271|6406
893353198958|287
893353198958|796
893353198958|2097
893353198958|3015
893353198958|6528
893353198958|6596
893353198958|6665
893353198958|8098
893353198958|9273
893353198963|2097
893353198963|5080
893353198963|5502
893353198963|6376
893353198963|9273
893353198963|9325
893353198963|10491
893353198964|571
893353198964|5502
893353198964|5841
893353198964|6376
893353198964|7034
893353198964|8565
893353198964|9273
893353198964|9325
893353198968|244
893353198968|1195
893353198968|2836
893353198968|5163
893353198968|5174
893353198968|12249
893353198969|1195
893353198969|2105
893353198969|2836
893353198969|5163
893353198969|5174
893353198969|7883
893353198969|9706
1030792152445|244
1030792152445|779
1030792152445|5869
1030792152447|1176
1030792152447|9056
1030792152450|5219
1030792152450|5258
1030792152453|244
1030792152453|5767
1030792152453|12086
1030792152453|14011
412316861838|2950
412316861838|5445
412316861844|2206
412316861844|7567
412316861850|2206
412316861850|6949
412316861852|1505
412316861852|2206
549755815327|1410
549755815327|5068
549755815328|6978
755914245541|224
755914245541|2898
755914245548|2833
755914245548|2898
755914246182|2
755914246182|2894
755914246184|2
755914246184|2894
755914246184|6944
755914246191|2
755914246191|8912
755914246192|2
755914246192|11848
755914246195|287
755914246523|2821
755914246523|7827
755914246523|9078
755914246524|201
755914246524|5119
755914246524|6949
755914246524|7241
755914246525|5119
755914246525|7775
755914246525|12269
755914246527|7740
755914246527|15666
755914246530|5119
755914246530|6949
755914246530|7327
755914246530|9907
755914246531|1672
755914246531|5119
755914246531|6949
755914246531|7327
755914246531|9064
893353200018|1762
893353200018|2853
893353200018|4863
893353200018|11640
893353200022|1762
893353200022|7367
893353200022|9235
893353200022|9503
893353200022|11417
893353200024|1546
893353200024|4863
893353200024|7367
893353200024|9045
893353200026|1546
893353200026|4863
893353200026|5116
893353200026|7367
893353200026|8939
893353200026|9045
893353200028|1532
893353200028|1762
893353200028|7367
893353200028|15288
893353200029|6779
893353200029|7367
893353200029|9235
893353200029|9503
893353200029|9879
893353200029|11370
893353200030|148
893353200030|297
893353200030|1532
893353200040|1761
893353200040|5432
893353200040|5524
893353200040|11050
893353200041|1986
893353200041|11050
893353200041|15437
893353200044|1761
893353200044|5374
893353200044|9001
893353200044|9271
893353200044|10498
687194770314|1410
687194770314|2063
687194770314|2812
687194770314|3044
687194770314|5086
687194770314|5125
687194770314|7558
687194770316|1410
687194770316|2063
687194770316|2835
687194770316|2924
687194770316|5125
687194770316|9032
687194770316|9242
412316863377|2034
412316863377|2206
412316863377|3058
412316863377|9143
412316863377|14785
412316863378|9079
412316863378|9312
412316863378|11251
412316863380|9143
412316863380|9243
412316863380|9585
412316863380|14137
412316863380|14785
412316863382|1753
412316863382|2044
412316863382|9143
412316863382|9243
412316863382|10314
412316863382|14137
412316863382|14785
687194770330|382
687194770330|2976
687194770330|9241
962072677498|1
962072677498|8318
962072677500|5145
962072677501|1
962072677501|1763
962072677501|8318
962072677508|2968
755914247304|1
755914247304|7006
755914247307|1989
755914247309|2888
824633724048|1679
824633724048|2100
824633724048|5852
824633724048|6962
824633724048|7004
824633724048|7639
824633724048|11334
824633724048|12686
824633724049|2037
824633724049|5852
824633724049|6389
824633724049|6449
824633724049|6972
824633724049|7639
824633724049|12686
824633724052|1934
824633724052|2050
824633724052|3032
824633724052|6962
824633724052|7004
824633724052|7596
824633724052|7639
824633724052|9061
824633724052|11752
824633724055|1679
824633724055|1759
824633724055|2087
824633724055|5115
824633724055|7004
824633724055|7007
824633724055|7639
824633724055|11334
824633724055|12686
824633724056|2058
824633724056|2100
824633724056|7004
824633724056|7639
824633724056|8156
824633724056|10955
824633724056|12163
824633724065|572
824633724065|12343
824633724067|5158
824633724067|9191
824633724067|9329
824633724067|13854
893353200938|138
893353200938|9302
893353200940|138
893353200940|9064
893353200942|6153
1030792154420|12086
1030792154424|10999
1030792154426|14175
1030792154428|2797
1030792154430|8805
412316863810|977
412316863810|9057
412316863812|11724
412316863814|138
412316863814|977
412316863814|9062
412316863817|138
412316863817|977
412316863817|12303
412316863822|977
412316863822|13258
824633724246|1989
824633724246|2845
824633724246|11625
824633724248|138
824633724248|6551
824633724248|11625
824633724248|11685
755914247519|138
755914247519|2992
755914247520|138
755914247520|7347
274877910377|579
274877910377|791
274877910379|791
274877910379|9277
274877910385|138
274877910385|791
274877910385|3029
755914247541|138
755914247541|1177
755914247541|1178
755914247541|3091
755914247541|5822
412316863876|2923
412316863876|3065
