Person.id|Place.id
26388279066636|1073
17592186044504|314
19791209300058|934
6597069766695|858
13194139533332|531
30786325577812|1420
65|1203
8796093022290|1225
4398046511154|1301
15393162788865|1147
24189255811103|605
26388279066717|976
6597069766725|695
10995116277820|634
24189255811086|1166
32985348833314|972
2199023255637|423
4398046511152|1249
19791209299993|1177
2199023255558|411
21990232555586|177
24189255811155|853
24189255811164|1322
17592186044494|1151
6597069766693|407
15393162788922|1208
24189255811099|1282
28587302322250|235
28587302322247|1321
6597069766659|866
10995116277765|1014
21990232555611|126
30786325577752|388
6597069766733|605
8796093022297|280
13194139533391|1292
6597069766678|699
94|135
17592186044425|510
19791209299984|1284
32985348833313|969
19791209300004|255
15393162788906|966
17592186044461|1264
19791209300021|764
30786325577774|750
15393162788893|452
21990232555617|172
26388279066664|588
19791209300020|678
4398046511163|227
13194139533320|958
13194139533366|131
32985348833315|786
4398046511117|1410
19791209299986|1332
35184372088899|801
28587302322256|791
13194139533331|1452
17592186044459|148
21990232555531|350
13194139533344|737
19791209299968|285
6597069766711|1075
24189255811079|339
21990232555571|1178
4398046511145|185
15393162788911|1356
4398046511185|729
21990232555524|554
2199023255562|632
32985348833329|144
17592186044439|877
24189255811171|363
30786325577784|1086
6597069766720|1061
4398046511180|1342
96|405
4398046511177|442
32985348833378|137
15393162788866|642
10995116277846|725
24189255811116|841
26388279066654|1369
24189255811140|791
6597069766719|600
10995116277788|1363
26388279066662|747
