Comment.id|Person.id
824633720934|15393162788906
824633720935|15393162788906
618475291040|15393162788906
618475291041|15393162788906
618475291042|15393162788906
618475291043|15393162788906
618475291044|15393162788906
618475291045|15393162788906
618475291046|15393162788906
618475291047|15393162788906
618475291048|15393162788906
618475291049|15393162788906
618475291050|15393162788906
618475291051|15393162788906
618475291052|15393162788906
618475291053|15393162788906
618475291054|15393162788906
618475291055|15393162788906
618475291056|15393162788906
618475291057|15393162788906
618475291058|15393162788906
962072674740|15393162788906
962072674741|21990232555524
962072674742|21990232555524
962072674743|15393162788906
962072674744|15393162788906
962072674745|19791209299986
962072674746|21990232555524
824633721276|15393162788906
824633721277|19791209299986
824633721278|15393162788906
824633721279|21990232555524
824633721280|21990232555524
824633721281|19791209299986
824633721282|19791209299986
893353198020|19791209299986
893353198021|21990232555524
893353198022|15393162788906
893353198023|15393162788906
893353198024|15393162788906
893353198025|15393162788906
893353198026|15393162788906
893353198027|21990232555524
893353198028|21990232555524
893353198029|19791209299986
893353198030|19791209299986
893353198031|15393162788906
893353198032|15393162788906
893353198033|19791209299986
893353198034|21990232555524
893353198036|21990232555524
893353198037|19791209299986
893353198038|15393162788906
893353198039|21990232555524
893353198040|21990232555524
893353198041|15393162788906
893353198042|15393162788906
893353198043|21990232555524
893353198044|15393162788906
893353198045|21990232555524
893353198046|19791209299986
893353198047|19791209299986
893353198048|19791209299986
893353198049|15393162788906
549755815266|15393162788922
549755815267|17592186044425
549755815268|15393162788922
549755815269|17592186044425
549755815270|17592186044425
549755815271|15393162788922
549755815272|15393162788906
549755815273|17592186044425
893353198955|17592186044494
893353198956|17592186044494
893353198957|15393162788906
893353198958|17592186044494
893353198959|15393162788922
893353198960|17592186044425
893353198961|15393162788906
893353198962|21990232555524
893353198963|15393162788922
893353198964|21990232555524
893353198965|21990232555524
893353198966|21990232555524
893353198968|15393162788906
893353198969|17592186044494
1030792152443|17592186044425
1030792152444|4398046511163
1030792152445|6597069766733
1030792152446|10995116277820
1030792152447|4398046511163
1030792152448|6597069766733
1030792152449|6597069766733
1030792152450|26388279066654
1030792152451|4398046511163
1030792152452|4398046511163
1030792152453|17592186044425
1030792152454|10995116277820
1030792152455|21990232555524
1030792152456|26388279066654
1030792152457|10995116277820
1030792152458|21990232555524
412316861836|6597069766678
412316861837|6597069766678
412316861838|6597069766678
412316861839|6597069766678
412316861840|6597069766678
412316861841|6597069766678
412316861842|6597069766678
412316861843|6597069766678
412316861844|6597069766678
412316861845|6597069766678
412316861846|6597069766678
412316861847|6597069766678
412316861848|6597069766678
412316861849|6597069766678
412316861850|6597069766678
412316861851|6597069766678
412316861852|6597069766678
549755815326|10995116277788
549755815327|10995116277788
549755815328|10995116277788
755914245538|17592186044425
755914245539|15393162788906
755914245540|17592186044425
755914245541|17592186044425
755914245542|15393162788906
755914245543|15393162788906
755914245544|17592186044425
755914245545|15393162788906
755914245546|15393162788906
755914245547|17592186044425
755914245548|17592186044425
755914246179|15393162788906
755914246180|6597069766693
755914246181|10995116277765
755914246182|6597069766659
755914246183|17592186044459
755914246184|6597069766733
755914246185|15393162788893
755914246186|4398046511145
755914246187|6597069766733
755914246188|15393162788906
755914246189|21990232555611
755914246190|15393162788906
755914246191|15393162788906
755914246192|21990232555611
755914246193|17592186044459
755914246194|15393162788906
755914246195|17592186044459
755914246196|10995116277765
755914246197|6597069766733
755914246521|17592186044504
755914246522|15393162788865
755914246523|21990232555571
755914246524|15393162788865
755914246525|4398046511163
755914246526|15393162788865
755914246527|4398046511163
755914246528|4398046511163
755914246529|21990232555571
755914246530|4398046511163
755914246531|21990232555571
755914246532|15393162788865
1030792153478|21990232555571
1030792153479|4398046511163
1030792153480|21990232555571
1030792153481|15393162788865
1030792153482|17592186044504
1030792153483|17592186044504
1030792153484|4398046511163
893353200014|15393162788865
893353200015|24189255811116
893353200016|21990232555571
893353200017|15393162788865
893353200018|17592186044504
893353200019|15393162788865
893353200020|15393162788865
893353200021|21990232555571
893353200022|24189255811116
893353200023|24189255811116
893353200024|21990232555571
893353200025|15393162788865
893353200026|24189255811116
893353200027|17592186044504
893353200028|21990232555571
893353200029|21990232555571
893353200030|4398046511163
962072676768|17592186044504
962072676769|17592186044504
893353200035|4398046511163
893353200036|15393162788865
893353200037|17592186044504
893353200038|15393162788865
893353200039|21990232555571
893353200040|17592186044504
893353200041|15393162788865
893353200042|21990232555571
893353200043|24189255811116
893353200044|15393162788865
893353200045|4398046511163
687194770314|96
687194770315|96
687194770316|21990232555524
687194770317|96
687194770318|96
412316863376|96
412316863377|96
412316863378|96
412316863379|96
