Forum.id|Person.id|joinDate
824633720832|15393162788906|2012-03-02T04:42:04.266+0000
824633720832|32985348833314|2012-08-13T22:24:49.405+0000
1030792151041|32985348833314|2012-08-23T08:51:39.027+0000
824633720836|15393162788906|2012-05-29T01:37:09.092+0000
962072674310|15393162788906|2012-08-12T12:34:56.639+0000
549755813900|15393162788893|2011-05-11T12:09:08.885+0000
549755813900|15393162788906|2011-05-28T20:05:19.502+0000
549755813900|15393162788922|2011-05-09T19:06:07.712+0000
549755813900|30786325577752|2012-06-08T01:47:37.386+0000
618475290637|6597069766733|2011-09-01T18:47:30.273+0000
618475290637|17592186044425|2011-09-21T00:56:59.161+0000
618475290637|21990232555524|2011-10-17T07:11:58.865+0000
618475290637|30786325577752|2012-05-26T20:27:53.285+0000
618475290637|32985348833378|2012-08-31T16:13:33.575+0000
412316860461|15393162788906|2011-05-09T20:49:53.825+0000
412316860461|19791209299986|2011-08-30T07:16:40.277+0000
412316860461|21990232555524|2011-10-15T04:49:29.998+0000
412316860461|32985348833314|2012-08-18T08:13:37.733+0000
755914244143|19791209299986|2012-03-10T16:46:48.948+0000
481036337201|15393162788906|2011-12-22T18:38:25.750+0000
481036337201|19791209299986|2011-12-04T12:10:14.640+0000
893353197618|21990232555524|2012-07-27T04:35:39.298+0000
412316860467|15393162788906|2011-08-11T07:21:55.395+0000
412316860467|21990232555524|2012-03-25T10:54:20.992+0000
687194767413|15393162788906|2012-02-08T02:50:37.497+0000
687194767413|19791209299986|2012-02-18T14:51:15.004+0000
687194767413|21990232555524|2011-12-04T08:20:12.468+0000
755914244151|15393162788906|2012-08-04T21:12:47.816+0000
755914244151|19791209299986|2012-06-08T19:45:53.151+0000
755914244151|21990232555524|2012-07-05T08:35:58.148+0000
893353197624|19791209299986|2012-07-09T20:05:36.972+0000
618475290681|15393162788906|2012-01-29T15:49:28.143+0000
618475290681|21990232555524|2012-02-25T14:26:44.139+0000
962072674363|19791209299986|2012-09-10T07:35:19.375+0000
687194767420|15393162788906|2012-02-10T18:47:10.926+0000
687194767420|19791209299986|2012-01-26T20:54:38.097+0000
687194767420|21990232555524|2012-01-02T00:16:56.681+0000
755914244158|19791209299986|2012-08-11T12:50:33.702+0000
755914244158|32985348833314|2012-08-20T14:17:29.755+0000
481036337215|21990232555524|2012-08-08T18:44:46.990+0000
481036337215|32985348833314|2012-09-03T14:16:27.863+0000
549755813952|21990232555524|2012-06-07T10:55:20.051+0000
893353197633|15393162788906|2012-07-12T08:26:21.291+0000
481036337218|15393162788906|2012-04-15T00:10:49.371+0000
481036337218|19791209299986|2012-07-12T07:53:26.323+0000
481036337218|21990232555524|2012-01-21T00:47:53.191+0000
549755813955|15393162788906|2012-07-17T11:31:27.126+0000
549755813955|19791209299986|2012-06-22T18:29:53.966+0000
549755813955|21990232555524|2011-12-16T10:38:24.806+0000
893353197636|15393162788906|2012-08-28T03:47:49.800+0000
687194767429|15393162788906|2012-03-07T18:36:10.551+0000
687194767429|21990232555524|2012-05-09T18:16:37.724+0000
962072674374|21990232555524|2012-07-02T05:03:42.978+0000
962072674378|21990232555524|2012-07-09T00:37:13.833+0000
274877907057|10995116277788|2010-12-14T10:39:19.413+0000
687194767476|10995116277788|2012-01-11T14:55:49.177+0000
687194767478|10995116277788|2012-03-07T13:44:36.829+0000
412316860538|10995116277788|2011-04-07T21:40:18.413+0000
687194767486|10995116277788|2012-03-26T06:56:29.879+0000
962072674431|10995116277788|2012-07-30T21:43:02.136+0000
343597383808|10995116277788|2011-05-19T08:19:28.256+0000
412316860545|10995116277788|2012-03-09T03:38:26.401+0000
618475290754|10995116277788|2012-03-24T11:38:18.694+0000
755914244228|10995116277788|2011-11-30T07:08:07.389+0000
343597383813|10995116277788|2011-11-29T00:56:57.510+0000
549755814022|10995116277788|2012-04-09T01:41:51.989+0000
412316860552|10995116277788|2012-07-06T07:50:17.957+0000
755914244234|10995116277788|2012-06-30T04:34:03.950+0000
137438953612|6597069766733|2010-08-20T03:59:13.006+0000
481036337293|15393162788906|2011-05-13T07:02:45.175+0000
481036337293|15393162788922|2011-05-11T06:02:34.113+0000
